keyword,volumen_us,cpc_est,intencion,servicio,ciudad,match_sugerido,ad_group,fuente,nota
towing fredericksburg tx,20,2.07,comercial,light-medium towing,Fredericksburg,frase,AG1 Towing,semrush us 2026-09-23,volumen local <100: un solo grupo (no STAG por ciudad)
tow truck fredericksburg tx,20,2.16,comercial,light-medium towing,Fredericksburg,frase,AG1 Towing,semrush us 2026-09-23,volumen local <100: un solo grupo (no STAG por ciudad)
tow truck fredericksburg,70,3.65,comercial,light-medium towing,Fredericksburg,frase,AG1 Towing,semrush us 2026-09-23,volumen local <100: un solo grupo (no STAG por ciudad)
fredericksburg towing,20,3.69,comercial,light-medium towing,Fredericksburg,frase,AG1 Towing,semrush us 2026-09-23,volumen local <100: un solo grupo (no STAG por ciudad)
towing kerrville tx,20,3.47,comercial,light-medium towing,Kerrville,frase,AG1 Towing,semrush us 2026-09-23,volumen local <100: un solo grupo (no STAG por ciudad)
kerrville towing,20,3.23,comercial,light-medium towing,Kerrville,frase,AG1 Towing,semrush us 2026-09-23,volumen local <100: un solo grupo (no STAG por ciudad)
tow truck kerrville tx,20,3.5,comercial,light-medium towing,Kerrville,frase,AG1 Towing,semrush us 2026-09-23,volumen local <100: un solo grupo (no STAG por ciudad)
wrecker service kerrville tx,20,2.0,comercial,light-medium towing,Kerrville,frase,AG1 Towing,semrush us 2026-09-23,volumen local <100: un solo grupo (no STAG por ciudad)
towing boerne tx,20,2.51,comercial,light-medium towing,Boerne,frase,AG1 Towing,semrush us 2026-09-23,volumen local <100: un solo grupo (no STAG por ciudad)
towing johnson city,70,2.05,comercial,light-medium towing,Johnson City,frase,AG1 Towing,semrush us 2026-09-23,volumen local <100: un solo grupo (no STAG por ciudad)
tow truck llano tx,,,comercial,light-medium towing,Llano,frase,AG1 Towing,variante/search term,volumen local <100: un solo grupo (no STAG por ciudad)
towing comfort tx,,,comercial,light-medium towing,Comfort,frase,AG1 Towing,variante/search term,volumen local <100: un solo grupo (no STAG por ciudad)
towing blanco tx,,,comercial,light-medium towing,Blanco,frase,AG1 Towing,variante/search term,volumen local <100: un solo grupo (no STAG por ciudad)
towing marble falls,,,comercial,light-medium towing,Marble Falls (borde),frase,AG1 Towing,variante/search term,volumen local <100: un solo grupo (no STAG por ciudad)
exotic car towing,320,2.56,comercial ticket alto,exotic / flatbed / medium,radio 40mi,exacta+frase,AG2 Exotic & Long-Distance,semrush us 2026-09-23,
luxury car towing,,,comercial ticket alto,exotic / flatbed / medium,radio 40mi,frase,AG2 Exotic & Long-Distance,variante,
classic car towing,,,comercial ticket alto,exotic / flatbed / medium,radio 40mi,frase,AG2 Exotic & Long-Distance,variante,
flatbed towing near me,720,3.45,comercial ticket alto,exotic / flatbed / medium,radio 40mi,frase,AG2 Exotic & Long-Distance,semrush us 2026-09-23,confirmar que tiene flatbed
flatbed tow truck near me,320,3.72,comercial ticket alto,exotic / flatbed / medium,radio 40mi,frase,AG2 Exotic & Long-Distance,semrush us 2026-09-23,confirmar que tiene flatbed
medium duty towing,390,3.81,comercial ticket alto,exotic / flatbed / medium,radio 40mi,frase,AG2 Exotic & Long-Distance,semrush us 2026-09-23,
long distance towing near me,,,comercial ticket alto,long-distance towing,origen radio 40mi,frase,AG2 Exotic & Long-Distance,variante,'long distance towing' genérico lo pagan brokers: solo con ancla geo/near me + negativas transport
long distance car towing,260,6.03,comercial ticket alto,long-distance towing,origen radio 40mi,frase,AG2 Exotic & Long-Distance,semrush us 2026-09-23,'long distance towing' genérico lo pagan brokers: solo con ancla geo/near me + negativas transport
long distance towing fredericksburg,,,comercial ticket alto,long-distance towing,origen radio 40mi,frase,AG2 Exotic & Long-Distance,variante,'long distance towing' genérico lo pagan brokers: solo con ancla geo/near me + negativas transport
long distance towing texas,,,comercial ticket alto,long-distance towing,origen radio 40mi,frase,AG2 Exotic & Long-Distance,variante,'long distance towing' genérico lo pagan brokers: solo con ancla geo/near me + negativas transport
tow car to san antonio,,,comercial ticket alto,long-distance towing,origen radio 40mi,frase,AG2 Exotic & Long-Distance,variante,'long distance towing' genérico lo pagan brokers: solo con ancla geo/near me + negativas transport
tow car to austin,,,comercial ticket alto,long-distance towing,origen radio 40mi,frase,AG2 Exotic & Long-Distance,variante,'long distance towing' genérico lo pagan brokers: solo con ancla geo/near me + negativas transport
roadside assistance near me,33100,3.38,comercial ticket bajo,roadside,radio 40mi,exacta,"AG3 Roadside (exacta, tope)",semrush us 2026-09-23,solo exacta; confirmar que el cliente hace cada servicio
roadside service near me,,,comercial ticket bajo,roadside,radio 40mi,exacta,"AG3 Roadside (exacta, tope)",search term cuenta 18-23/09,solo exacta; confirmar que el cliente hace cada servicio
jump start near me,1300,2.66,comercial ticket bajo,roadside,radio 40mi,exacta,"AG3 Roadside (exacta, tope)",semrush us 2026-09-23,solo exacta; confirmar que el cliente hace cada servicio
flat tire change near me,320,3.1,comercial ticket bajo,roadside,radio 40mi,exacta,"AG3 Roadside (exacta, tope)",semrush us 2026-09-23,solo exacta; confirmar que el cliente hace cada servicio
roadside assistance,450000,3.76,informacional/AAA/seguro,—,—,NO (negativa o fase posterior),descartada,semrush us 2026-09-23,genérico; atrae AAA/seguro
emergency roadside assistance,,,AAA/seguro,—,—,NO (negativa o fase posterior),descartada,search term cuenta 18-23/09,$9.69 sin conv en la cuenta
what does roadside assistance cover,,,informacional,—,—,NO (negativa o fase posterior),descartada,search term cuenta 18-23/09,$7.88 desperdicio real
car jumper,,,producto,—,—,NO (negativa o fase posterior),descartada,search term cuenta 18-23/09,$27.48 desperdicio real
car dollies for towing,,,producto/equipo,—,—,NO (negativa o fase posterior),descartada,search term cuenta 18-23/09,$12.61 desperdicio real
rv haulers in texas,,,transporte,—,—,NO (negativa o fase posterior),descartada,search term cuenta 18-23/09,$11.43 desperdicio real
cheap tow truck near me,,,precio,—,—,NO (negativa o fase posterior),descartada,search term cuenta 18-23/09,$11.84 desperdicio real; cheapest ya en universal
cheap towing near me,14800,3.12,precio,—,—,NO (negativa o fase posterior),descartada,semrush us 2026-09-23,no pujar; vigilar
fuel delivery near me,2900,7.88,comercial ticket bajo,—,—,NO (negativa o fase posterior),descartada,semrush us 2026-09-23,CPC > margen; F1 no
accident towing,880,8.5,comercial,—,—,NO (negativa o fase posterior),descartada,semrush us 2026-09-23,CPC alto; revisar F3 si trabaja con aseguradoras
heavy duty towing near me,1900,7.37,fuera de servicio,—,—,NO (negativa o fase posterior),descartada,semrush us 2026-09-23,cliente light/medium
semi truck towing near me,1300,7.04,fuera de servicio,—,—,NO (negativa o fase posterior),descartada,semrush us 2026-09-23,cliente light/medium
long distance towing,2400,5.46,transporte/broker,—,—,NO (negativa o fase posterior),descartada,semrush us 2026-09-23,genérico sin ancla geo
enclosed car transport,2400,7.82,transporte,—,—,NO (negativa o fase posterior),descartada,semrush us 2026-09-23,no es towing
car lockout service near me,1600,3.99,comercial ticket bajo,—,—,NO (negativa o fase posterior),descartada,semrush us 2026-09-23,compite con cerrajeros; F1 no
rv towing near me,1000,4.23,comercial,—,—,NO (negativa o fase posterior),descartada,semrush us 2026-09-23,PENDIENTE capacidad RV
motorcycle towing near me,1900,2.49,comercial,—,—,NO (negativa o fase posterior),descartada,semrush us 2026-09-23,PENDIENTE; el sitio dice que remolca motos → candidata F2
towing cost per mile,1000,2.48,informacional,—,—,NO (negativa o fase posterior),descartada,semrush us 2026-09-23,"insumo de copy, no pujar"
how much does a tow cost,1300,2.35,informacional,—,—,NO (negativa o fase posterior),descartada,semrush us 2026-09-23,"insumo de copy, no pujar"
towing san antonio,720,2.73,fuera de radio,—,—,NO (negativa o fase posterior),descartada,semrush us 2026-09-23,negativa
towing fredericksburg va,140,2.96,fuera de mercado (VA),—,—,NO (negativa o fase posterior),descartada,semrush us 2026-09-23,negativa
tic tac towing,170,2.01,competidor,—,—,NO (negativa o fase posterior),descartada,semrush us 2026-09-23,negativa
douglas towing,140,1.81,competidor,—,—,NO (negativa o fase posterior),descartada,semrush us 2026-09-23,negativa
midway wrecker,110,1.55,competidor,—,—,NO (negativa o fase posterior),descartada,semrush us 2026-09-23,negativa
gruas cerca de mi,,,comercial ES,—,—,NO (negativa o fase posterior),descartada,search term cuenta 18-23/09,sin anuncios en español; prueba F3
290 tow and recovery,,,marca propia,—,—,NO (negativa o fase posterior),descartada,search term cuenta 18-23/09,sin búsquedas de marca; sin campaña de marca
