keyword,vol_nwa_est,cpc_us,intencion,ad_group,ciudad,match,fase_o_decision,nota
panel upgrade near me,1,,comercial,Electrical Panel Upgrade,,EXACT,F2 (pausado hasta landing),
electrical panel upgrade,0,,comercial,Electrical Panel Upgrade,,PHRASE,F2 (pausado hasta landing),
electrical panel replacement,0,,comercial,Electrical Panel Upgrade,,PHRASE,F2 (pausado hasta landing),
panel upgrade,0,,comercial,Electrical Panel Upgrade,,PHRASE,F2 (pausado hasta landing),
panel replacement,0,,comercial,Electrical Panel Upgrade,,PHRASE,F2 (pausado hasta landing),
breaker box replacement,0,,comercial,Electrical Panel Upgrade,,PHRASE,F2 (pausado hasta landing),
fuse box replacement,3,,comercial,Electrical Panel Upgrade,,PHRASE,F2 (pausado hasta landing),
200 amp panel upgrade,0,,comercial,Electrical Panel Upgrade,,PHRASE,F2 (pausado hasta landing),
200 amp service upgrade,0,,comercial,Electrical Panel Upgrade,,PHRASE,F2 (pausado hasta landing),
electrical panel replacement cost,4,,comercial,Electrical Panel Upgrade,,PHRASE,F2 (pausado hasta landing),
electrical service upgrade,0,,comercial,Electrical Panel Upgrade,,PHRASE,F2 (pausado hasta landing),
electric panel installation,0,,comercial,Electrical Panel Upgrade,,PHRASE,F2 (pausado hasta landing),
ev charger installation,73,,comercial,EV Charger Installation,,EXACT,F2 (pausado hasta landing),
ev charger installation near me,40,,comercial,EV Charger Installation,,EXACT,F2 (pausado hasta landing),
tesla charger installation,8,,comercial,EV Charger Installation,,EXACT,F2 (pausado hasta landing),
electric car charger installation,15,,comercial,EV Charger Installation,,EXACT,F2 (pausado hasta landing),
ev charger installation,0,,comercial,EV Charger Installation,,PHRASE,F2 (pausado hasta landing),
ev charger installer,1,,comercial,EV Charger Installation,,PHRASE,F2 (pausado hasta landing),
electric car charger installation,0,,comercial,EV Charger Installation,,PHRASE,F2 (pausado hasta landing),
tesla charger installation,0,,comercial,EV Charger Installation,,PHRASE,F2 (pausado hasta landing),
tesla wall connector installation,10,,comercial,EV Charger Installation,,PHRASE,F2 (pausado hasta landing),
level 2 charger installation,2,,comercial,EV Charger Installation,,PHRASE,F2 (pausado hasta landing),
nema 14-50 outlet installation,0,,comercial,EV Charger Installation,,PHRASE,F2 (pausado hasta landing),
ev charging station installation,0,,comercial,EV Charger Installation,,PHRASE,F2 (pausado hasta landing),
ev charger installation cost,4,,comercial,EV Charger Installation,,PHRASE,F2 (pausado hasta landing),
home ev charger installation,4,,comercial,EV Charger Installation,,PHRASE,F2 (pausado hasta landing),
electrical services,33100,13.3,genérica / baja intención,,,,descartada F1,D: $692 → 2 conv; Pro Phase: $190 → 1 conv
home electrical,1000,13.03,genérica,,,,descartada F1,D: $945 → 3 conv; Pro Phase: $129 → 0
electrical contractors,9900,11.01,B2B / constructores,,,,descartada F1,Pro Phase: $75 → 0; mezcla comercial/industrial
emergency electrician,27100,21.48,comercial 24/7,,,,negativa,El cliente no es 24/7
24 hour electrician,12100,20.0,comercial 24/7,,,,negativa,El cliente no es 24/7
same day electrician,1000,30.36,comercial,,,,descartada F1,No hay promesa same-day confirmada; CPC $30
generator installation,60500,13.98,comercial,,,,negativa,Servicio no listado (confirmar)
ceiling fan installation,49500,6.04,"mixta / DIY, ticket bajo",,,,descartada F1,D: $152 → 0 conv
recessed lighting installation,27100,5.12,ticket bajo,,,,descartada F1,
light fixture installation,4400,5.88,ticket bajo,,,,descartada F1,
gfci outlet installation,40500,2.48,informacional / DIY,,,,descartada,
breaker keeps tripping,4400,3.59,informacional,,,,descartada F1,Posible prueba F3 en el grupo Repair
smoke detector installation,4400,8.68,ticket bajo,,,,descartada,
thermostat installation,0,0,ticket bajo / HVAC,,,,descartada,
doorbell installation,0,0,ticket bajo,,,,descartada,
data line installation,0,0,ticket bajo / nicho,,,,descartada,
electric company near me,9900,13.27,ambigua (utility),,,,negativa si trae cooperativas,
prophase electric,40,0,marca propia,,,,negativa en Search (sin campaña de marca F1),Orgánico en posición 3
mister sparky / mr electric / epic electric ...,0,0,competidor,,,,negativa,Estándar PMM 5
carroll electric / ozarks electric / swepco,0,0,utility,,,,negativa,$68.58 gastados en 11 días
