keyword,vol_us_o_ciudad,vol_est_radio_mes,cpc_est,intencion,servicio,ad_group,geo,match_sugerido,metodo_estimacion
starter replacement near me,590,0,2.41,comercial,electrico,Fase 3 (otros servicios),radio 5mi,frase,semrush us nacional x0.06%
cv axle replacement near me,480,0,2.19,comercial,otros,Fase 3 (otros servicios),radio 5mi,frase,semrush us nacional x0.06%
timing belt replacement near me,590,0,2.63,comercial,motor,Fase 3 (otros servicios),radio 5mi,frase,semrush us nacional x0.06%
auto repair financing,2900,2,5.2,comercial pero CPC alto y generico,general,descartar F1,radio 5mi,-,semrush us nacional x0.06%
car repair financing near me,320,0,5.08,idem,general,descartar F1,radio 5mi,-,semrush us nacional x0.06%
transmission won't shift,20,0,1.57,"sintoma, volumen minimo",transmision,A Transmission Repair,radio 5mi,frase,semrush us nacional x0.06%
cvt repair near me,40,0,1.89,volumen minimo,drivetrain,D Clutch CVT Drivetrain,radio 5mi,frase,semrush us nacional x0.06%
transmission repair jacksonville fl,210,52,2.27,comercial,transmision,A Transmission Repair,Jacksonville,exacta+frase,semrush us ciudad x25%
transmission shop jacksonville fl,210,52,2.18,comercial,transmision,A Transmission Repair,Jacksonville,exacta+frase,semrush us ciudad x25%
transmission repair jacksonville,140,35,2.24,comercial,transmision,A Transmission Repair,Jacksonville,frase,semrush us ciudad x25%
transmission shop jacksonville,90,22,2.22,comercial,transmision,A Transmission Repair,Jacksonville,frase,semrush us ciudad x25%
transmission jacksonville fl,70,18,1.93,comercial,transmision,A Transmission Repair,Jacksonville,frase,semrush us ciudad x25%
transmission shops jacksonville fl,50,12,2.18,comercial,transmision,A Transmission Repair,Jacksonville,frase,semrush us ciudad x25%
transmission rebuild jacksonville fl,20,5,0,comercial,transmision,B Transmission Rebuild,Jacksonville,frase,semrush us ciudad x25%
transmission repair orange park fl,70,18,0,comercial (fuera de radio en parte; sede Orange Park propia),transmision,A Transmission Repair,Jacksonville,frase,semrush us ciudad x25%
car repair jacksonville,390,98,2.8,comercial,general,E Auto Repair,Jacksonville,frase,semrush us ciudad x25%
auto repair jacksonville,480,120,2.8,comercial,general,E Auto Repair,Jacksonville,frase,semrush us ciudad x25%
mechanic jacksonville fl,320,80,3.3,comercial,general,E Auto Repair,Jacksonville,frase,semrush us ciudad x25%
car ac repair jacksonville fl,140,35,2.72,comercial,ac,G Car AC (Fase 3),Jacksonville,frase,semrush us ciudad x25%
brake repair jacksonville,110,28,2.98,comercial,frenos,Fase 3 (otros servicios),Jacksonville,frase,semrush us ciudad x25%
engine repair jacksonville fl,40,10,2.78,comercial,motor,F Check Engine & Engine,Jacksonville,frase,semrush us ciudad x25%
check engine light jacksonville,90,22,0,comercial,motor,F Check Engine & Engine,Jacksonville,frase,semrush us ciudad x25%
clutch repair jacksonville,50,12,0,comercial,drivetrain,D Clutch CVT Drivetrain,Jacksonville,frase,semrush us ciudad x25%
aamco 103rd,90,22,3.76,marca,marca,MARCA 103rd,Jacksonville,exacta+frase,semrush us ciudad x25%
aamco 103rd street,20,5,0,marca,marca,MARCA 103rd,Jacksonville,frase,semrush us ciudad x25%
aamco jacksonville fl,110,28,3.13,marca,marca,MARCA 103rd,Jacksonville,frase (coordinar con otras sedes),semrush us ciudad x25%
aamco transmission jacksonville,20,5,0,marca,marca,MARCA 103rd,Jacksonville,frase,semrush us ciudad x25%
oil change jacksonville fl,880,220,4.14,comercial ticket bajo; cadenas,oil change,descartar F1 (decision cliente),Jacksonville,-,semrush us ciudad x25%
